UnitId,Types of aid,Type,Category,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
230995,Norwich University,Any aid,Number receiving,487,423,497,502,489,484,488,531,554,628,702,602,591,569,652,579
230995,Norwich University,Federal grants,Number receiving,174,142,145,173,117,113,109,132,125,167,222,156,163,195,203,180
230995,Norwich University,-,Average amount,3392,4404,4641,3608,3983,4844,4975,5526,6196,6707,6843,6119,6014,5452,5823,6191
230995,Norwich University,State/Local grants,Number receiving,101,85,105,88,82,79,82,100,87,67,103,73,68,72,96,61
230995,Norwich University,-,Average amount,1403,1921,1744,1714,1697,1711,2081,2003,1646,1372,1669,1770,1738,1509,1295,1401
230995,Norwich University,Institutional grants,Number receiving,481,417,495,498,474,481,487,529,540,628,701,602,583,567,652,579
230995,Norwich University,-,Average amount,7190,7824,8419,8910,8693,10064,10901,12171,13322,15449,17378,17586,17770,20030,21954,22268
230995,Norwich University,Loans,Number receiving,409,338,395,418,388,364,402,422,397,436,540,473,449,459,513,439
230995,Norwich University,-,Average amount,4566,5129,4954,6776,7686,6810,6880,7683,7179,6951,7125,7567,8213,8403,8513,11125
231004,O'Briens Aveda Institute,First-time full-time undergraduates,Total,63,15,40,48,44,31,17,24,29,63,44,66,67,53,57,70
231004,O'Briens Aveda Institute,Any aid,Number receiving,58,15,39,43,39,29,15,22,29,54,44,57,56,40,52,64
231004,O'Briens Aveda Institute,Federal grants,Number receiving,30,15,26,27,23,18,12,15,21,38,38,35,41,28,49,48
231004,O'Briens Aveda Institute,-,Average amount,1626,1875,2085,2140,2531,2787,2500,2544,2094,3465,4668,3788,3588,4725,4622,5128
231004,O'Briens Aveda Institute,State/Local grants,Number receiving,28,15,31,26,28,27,15,0,22,43,32,37,28,23,23,5
231004,O'Briens Aveda Institute,-,Average amount,1544,1080,2330,1993,2223,2589,3000,-,3607,2517,2671,2672,2855,3782,7082,8412
231004,O'Briens Aveda Institute,Institutional grants,Number receiving,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,6
231004,O'Briens Aveda Institute,-,Average amount,0,100,0,-,-,-,-,-,1000,-,-,-,-,-,-,2669
231004,O'Briens Aveda Institute,Loans,Number receiving,33,15,39,37,32,27,15,22,29,45,44,48,55,29,48,20
231004,O'Briens Aveda Institute,-,Average amount,2428,2600,3221,5019,6784,5835,6000,6727,4319,6576,8214,9217,8923,9622,9069,7683
231059,Saint Michael's College,First-time full-time undergraduates,Total,522,518,527,512,518,592,577,524,543,470,548,542,544,506,574,463
231059,Saint Michael's College,Any aid,Number receiving,438,453,462,434,451,533,559,467,516,455,546,532,539,504,574,462
231059,Saint Michael's College,Federal grants,Number receiving,53,82,81,88,69,84,98,55,62,81,102,96,119,81,113,65
231059,Saint Michael's College,-,Average amount,3324,3691,4620,4162,4200,3995,4794,5652,5373,6261,6217,5356,5502,5540,5252,5333
231059,Saint Michael's College,State/Local grants,Number receiving,78,88,93,94,80,94,90,67,58,63,85,50,97,48,73,43
231059,Saint Michael's College,-,Average amount,1674,1782,1852,2135,1784,2334,1993,2450,1841,2008,2077,2637,2171,1838,1609,1732
231059,Saint Michael's College,Institutional grants,Number receiving,413,420,439,385,417,495,556,436,502,451,545,523,533,501,573,462
231059,Saint Michael's College,-,Average amount,8529,9780,10271,10869,10934,13467,11006,10890,11921,14718,16762,17134,19138,20703,20498,21587
231059,Saint Michael's College,Loans,Number receiving,401,320,432,404,358,424,398,335,410,320,462,445,472,357,370,379
231059,Saint Michael's College,-,Average amount,3936,4079,4190,3824,5261,6265,7370,7941,7620,8093,8563,8866,9009,9698,8884,9222
231068,SIT Graduate Institute,First-time full-time undergraduates,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,Any aid,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,Federal grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,State/Local grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,Institutional grants,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,Loans,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231077,College of St Joseph,First-time full-time undergraduates,Total,63,37,22,39,36,43,40,31,43,46,52,41,24,34,84,39
231077,College of St Joseph,Any aid,Number receiving,58,37,21,39,35,42,38,29,42,43,46,41,23,34,84,39
231077,College of St Joseph,Federal grants,Number receiving,23,18,7,13,15,18,17,19,22,29,30,29,18,27,58,31
231077,College of St Joseph,-,Average amount,2864,2738,4855,2611,4113,3694,3929,4335,4451,4755,5196,4184,5062,4688,4417,4748
231077,College of St Joseph,State/Local grants,Number receiving,31,20,8,18,16,16,20,11,23,31,28,25,12,21,30,19
231077,College of St Joseph,-,Average amount,2477,633,1991,2176,3219,2966,3478,4935,4864,5119,4279,4756,5060,4129,3508,4188
231077,College of St Joseph,Institutional grants,Number receiving,48,31,21,38,35,42,38,29,42,43,46,41,23,31,84,39
231077,College of St Joseph,-,Average amount,4047,4339,3932,4434,5683,5612,5289,5228,5309,4555,5660,6613,9205,13299,12510,13050
