UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
118967,"R",43851532,"R",890549,"R",42960983,"R",43851532,"R",13684891,"R",10247090,"R",0,"R",3437801,"R",0,"R",39523182,"R",0,"R",42960983,"R",3182758,"R",127852,"R",1180239,"R",2000,"R",4492849,"R",359643,"R",0,"R",13684891,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13684891,"R",5196836,"R",0,"R",5050254,"R",0,"R",0,"R",0,"R",10247090
118994,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",362579,"R",6533,"R",19595,"R",0,"R",388707,"R",0,"R",0,"R",705755,"R",0,"R",0,"R",0,"R",0,"R",117477,"A",,"R",0,"R",823232,"R",196619,"R",0,"R",10000,"A",,"R",0,"R",377634,"R",584253
119234,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",488535,"R",15210,"R",0,"R",0,"R",503745,"R",503745,"R",0,"R",1791201,"R",503745,"R",0,"R",0,"R",0,"R",220147,"A",,"R",7287,"R",2522380,"R",585918,"R",0,"R",1890998,"A",,"R",0,"R",2091,"R",2479007
119270,"R",38531812,"R",21088580,"R",17443232,"R",38531812,"R",30857619,"R",29994607,"R",0,"R",863012,"Z",0,"R",16580220,"R",0,"R",17443232,"R",1367873,"R",95633,"R",109098,"R",0,"R",1572604,"R",972486,"R",0,"R",30645806,"R",0,"R",0,"R",0,"R",9598,"R",0,"R",111813,"R",90402,"R",30857619,"R",9120364,"R",100000,"R",19254572,"R",76717,"R",0,"R",1442954,"R",29994607
119340,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1610343,"R",289674,"R",0,"R",0,"R",1900017,"R",0,"R",0,"R",2864576,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",2864576,"R",670285,"R",0,"R",446708,"A",,"R",0,"R",229810,"R",1346803
119359,"R",29650536,"R",1725539,"R",27924997,"R",29650536,"R",10365297,"R",8979699,"R",0,"R",1385598,"Z",0,"R",26539400,"R",-1,"R",27924997,"R",2604409,"R",89688,"Z",0,"Z",0,"R",2694097,"Z",0,"Z",0,"R",10365297,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",10365297,"R",4420727,"Z",0,"R",4558972,"Z",0,"Z",0,"R",0,"R",8979699
119368,"R",6584288,"R",5315885,"R",1268403,"R",6584288,"R",2741724,"R",1243651,"R",1000093,"R",2498166,"R",0,"R",10047636,"R",-11277399,"R",1268403,"R",1667323,"R",126379,"R",3109,"R",0,"R",1796811,"R",0,"R",0,"R",2741724,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2741724,"R",581052,"R",0,"R",436816,"R",0,"R",0,"R",225783,"R",1243651
119438,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1429751,"R",91964,"R",0,"R",0,"R",1521715,"R",0,"R",0,"R",2771075,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",2771075,"R",527906,"R",0,"R",483953,"A",,"Z",0,"R",227545,"R",1239404
119456,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2010703,"R",69341,"R",5184,"Z",0,"R",2085228,"Z",0,"Z",0,"R",6973704,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",0,"R",6973704,"R",3528440,"Z",0,"R",3754868,"A",,"Z",0,"R",0,"R",7283308
119465,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2426353,"R",30372,"Z",0,"Z",0,"R",2456725,"Z",0,"Z",0,"R",8903011,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",0,"R",8903011,"R",3867314,"Z",0,"R",3620781,"A",,"Z",0,"R",0,"R",7488095
119508,"R",26902431,"R",2183233,"R",24719198,"R",26902431,"R",10604317,"R",9941660,"R",0,"R",662657,"Z",0,"R",24056541,"R",0,"R",24719198,"R",3090607,"R",94549,"Z",0,"Z",0,"R",3185156,"Z",0,"Z",0,"R",10604317,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",10604317,"R",5346019,"Z",0,"R",4595640,"Z",0,"Z",0,"R",1,"R",9941660
119544,"R",11038000,"R",25059000,"R",-14021000,"R",11038000,"R",5460000,"R",13765000,"R",1723000,"R",-6582000,"R",-1645000,"R",-5794000,"R",0,"R",-14021000,"R",1860000,"R",813000,"R",609458,"R",796000,"R",4078458,"R",0,"R",0,"R",1725000,"R",1860000,"R",609458,"Z",0,"Z",0,"Z",0,"Z",0,"R",1265542,"R",5460000,"R",9261000,"Z",0,"R",1361000,"Z",0,"Z",0,"R",3143000,"R",13765000
119553,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2602583,"R",18073,"R",34724,"R",0,"R",2655380,"R",220159,"R",0,"R",10656749,"R",0,"R",0,"R",0,"R",78037,"R",1513717,"A",,"R",0,"R",12248503,"R",6479460,"R",0,"R",3488807,"A",,"R",0,"R",1776003,"R",11744270
119775,"R",21780000,"R",3270000,"R",18510000,"R",21780000,"R",13877000,"R",17044000,"R",0,"R",-3167000,"R",12096000,"R",9581000,"R",0,"R",18510000,"R",1146000,"R",28000,"R",904000,"R",1179000,"R",3257000,"R",2865035,"R",0,"R",11755000,"R",1218000,"R",904000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13877000,"R",3977000,"R",0,"R",13067000,"R",0,"R",0,"R",0,"R",17044000
119845,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",487698,"R",0,"R",0,"R",0,"R",487698,"R",0,"R",0,"R",1046092,"R",498227,"R",0,"R",0,"R",0,"R",273491,"A",,"R",0,"R",1817810,"R",433864,"R",0,"R",1128942,"A",,"R",0,"R",0,"R",1562806
119951,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1106174,"R",8906,"R",0,"R",0,"R",1115080,"R",0,"R",0,"R",1324362,"R",1115080,"R",12150,"R",0,"R",0,"R",118677,"A",,"R",224136,"R",2794405,"R",440965,"Z",0,"R",1374028,"A",,"Z",0,"R",1102881,"R",2917874
120069,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1344913,"R",32335,"R",8349,"R",7455,"R",1393052,"R",0,"R",0,"R",2393818,"R",1377248,"R",8349,"R",7455,"R",1039,"R",0,"A",,"R",0,"R",3787909,"R",1085906,"R",0,"R",1370138,"A",,"R",0,"R",857481,"R",3313525
120078,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2301533,"R",20475,"R",8450,"R",6327,"R",2336785,"R",0,"R",0,"R",4361597,"R",2322008,"R",8450,"R",6327,"R",1724,"R",0,"A",,"R",0,"R",6700106,"R",1736583,"R",0,"R",2011349,"A",,"R",0,"R",2122030,"R",5869962
120087,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",871969,"R",16525,"R",9416,"R",5068,"R",902978,"R",0,"R",0,"R",1667617,"R",888494,"R",9416,"R",5068,"R",1039,"R",0,"A",,"R",0,"R",2571634,"R",739915,"R",0,"R",1009088,"A",,"R",0,"R",518790,"R",2267793
120272,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",349678,"R",11678,"Z",0,"R",3892,"R",365248,"R",750,"Z",0,"R",770652,"Z",0,"Z",0,"Z",0,"Z",0,"R",125242,"A",,"R",1762,"R",897656,"R",344164,"Z",0,"R",511924,"A",,"Z",0,"R",32983,"R",889071
120661,"R",7502000,"R",7020000,"R",482000,"R",7502000,"R",14802000,"R",10440000,"R",0,"R",4362000,"Z",0,"R",665000,"R",-4545000,"R",482000,"R",2889000,"R",83000,"R",3458000,"R",56000,"R",6486000,"Z",0,"Z",0,"R",8279000,"R",2972000,"R",3458000,"R",56000,"Z",0,"R",37000,"Z",0,"R",0,"R",14802000,"R",4596000,"Z",0,"R",5844000,"Z",0,"Z",0,"R",0,"R",10440000
