UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
401223,"R",10,"R",410160,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",117600,"R",3,"R",146760,"R",2,"R",78000,"R",1,"R",33600,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",34200,"Z",0,"Z",0,"Z",0,"Z",0
401250,"R",13,"R",810440,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",181471,"R",4,"R",332980,"R",1,"R",69744,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",93334,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",132911,"Z",0,"Z",0,"Z",0,"Z",0
402776,"R",11,"R",544260,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",62500,"R",4,"R",315360,"R",1,"R",38000,"R",1,"R",40000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",59280,"R",1,"R",29120,"Z",0,"Z",0
403469,"R",30,"R",1165640,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",67802,"R",4,"R",288961,"R",3,"R",120253,"R",1,"R",29120,"R",9,"R",351996,"Z",0,"Z",0,"R",3,"R",106184,"Z",0,"Z",0,"R",8,"R",201324,"Z",0,"Z",0,"Z",0,"Z",0
403478,"R",27,"R",1075380,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",50511,"R",2,"R",206867,"R",2,"R",79194,"R",1,"R",31491,"R",8,"R",315023,"Z",0,"Z",0,"R",4,"R",98301,"R",3,"R",83643,"R",5,"R",167003,"R",1,"R",43347,"Z",0,"Z",0
403487,"R",40,"R",1479254,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",74795,"R",4,"R",306318,"R",8,"R",275109,"R",1,"R",37502,"R",8,"R",316276,"Z",0,"Z",0,"R",4,"R",99173,"R",2,"R",61535,"R",9,"R",227676,"R",2,"R",80870,"Z",0,"Z",0
404055,"R",16,"R",844890,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",272893,"Z",0,"Z",0,"R",4,"R",239040,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",307997,"R",1,"R",24960,"Z",0,"Z",0,"Z",0,"Z",0
404222,"R",46,"R",1324500,"Z",0,"Z",0,"R",13,"R",303816,"R",3,"R",57720,"R",15,"R",662760,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",129204,"Z",0,"Z",0,"R",7,"R",154032,"R",1,"R",16968,"Z",0,"Z",0
404338,"R",14,"R",650800,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",177000,"R",1,"R",45000,"R",1,"R",40000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",213000,"R",5,"R",175800,"Z",0,"Z",0,"Z",0,"Z",0
404365,"R",16,"R",829441,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",373359,"R",2,"R",166174,"R",3,"R",139586,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",125778,"R",1,"R",24544,"Z",0,"Z",0,"Z",0,"Z",0
404374,"R",13,"R",641695,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",370454,"R",1,"R",75000,"R",2,"R",83567,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",87589,"R",1,"R",25085,"Z",0,"Z",0,"Z",0,"Z",0
404383,"R",19,"R",1010334,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",546738,"R",2,"R",185232,"R",3,"R",131266,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",117229,"R",1,"R",29869,"Z",0,"Z",0,"Z",0,"Z",0
