UNITID,CONTRACT,ARANK,XTENUREM,TENUREM,XONTRCKM,ONTRCKM,XNOTRCKM,NOTRCKM,XNOFACTM,NOFACTM,XTENUREW,TENUREW,XONTRCKW,ONTRCKW,XNOTRCKW,NOTRCKW,XNOFACTW,NOFACTW,XEMPCNTT,EMPCNTT 
103723,2,7,"Z",0,"Z",0,"R",20,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",23
103778,2,1,"R",5,"R",1,"R",5,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",14
103778,2,2,"R",13,"R",1,"R",3,"Z",0,"R",4,"Z",0,"R",3,"Z",0,"R",24
103778,2,3,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",8
103778,2,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
103778,2,7,"R",18,"R",6,"R",9,"Z",0,"R",7,"R",3,"R",4,"Z",0,"R",47
103787,1,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4
103787,1,7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4
103893,2,4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",15,"Z",0,"R",16
103893,2,7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",15,"Z",0,"R",16
103945,2,2,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",4
103945,2,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
103945,2,7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",5
104090,2,4,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",16,"Z",0,"R",19
104090,2,7,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",16,"Z",0,"R",19
104151,1,1,"R",481,"Z",0,"R",29,"Z",0,"R",155,"Z",0,"R",8,"Z",0,"R",673
104151,1,2,"R",290,"R",12,"R",14,"Z",0,"R",207,"R",6,"R",34,"Z",0,"R",563
104151,1,3,"Z",0,"R",212,"R",27,"Z",0,"R",2,"R",181,"R",33,"Z",0,"R",455
104151,1,4,"Z",0,"Z",0,"R",61,"Z",0,"Z",0,"Z",0,"R",111,"Z",0,"R",172
104151,1,5,"Z",0,"Z",0,"R",155,"Z",0,"Z",0,"Z",0,"R",207,"Z",0,"R",362
104151,1,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
104151,1,7,"R",771,"R",224,"R",286,"Z",0,"R",364,"R",187,"R",394,"Z",0,"R",2226
