UNITID,exists,expenses,revenues,school,tuition_fees,year
230861,True,36240830.0,35770147,Community College of Vermont,17715054,2013
230834,True,50196242.0,48377567,Castleton University,26103571,2013
231165,True,46070780.0,41305934,Vermont Technical College,18052510,2014
231156,True,5131947.0,3129866,Vermont State Colleges-Office of The Chancellor,0,2014
231174,True,658746000.0,642422000,University of Vermont,282478000,2014
230931,True,32706024.0,31529966,Lyndon State College,15163978,2014
230913,True,29188649.0,29211919,Johnson State College,13645044,2014
230861,True,34052266.0,34535473,Community College of Vermont,17860445,2014
230834,True,48510741.0,45693159,Castleton University,25211406,2014
231165,True,41803818.0,41325717,Vermont Technical College,19631644,2015
231156,True,8917869.0,4988770,Vermont State Colleges-Office of The Chancellor,920211,2015
231174,True,673982000.0,664744000,University of Vermont,297893000,2015
230931,True,29946779.0,29043707,Lyndon State College,14058065,2015
230913,True,30655309.0,28550063,Johnson State College,13249770,2015
230861,True,32694351.0,33692800,Community College of Vermont,17873755,2015
230834,True,47325686.0,46285856,Castleton University,25531168,2015
230977,True,24079155.0,21459014,New England Culinary Institute,14403049,2008
230977,True,17126490.0,18225068,New England Culinary Institute,13373011,2009
230977,True,16241955.0,15643259,New England Culinary Institute,12019083,2010
230977,True,16288105.0,15413400,New England Culinary Institute,11938399,2011
230977,True,13159095.0,12694283,New England Culinary Institute,9273622,2012
230977,True,11297891.0,12043219,New England Culinary Institute,8262698,2013
230977,True,10948372.0,10359728,New England Culinary Institute,7355609,2014
230977,True,9527285.0,9719053,New England Culinary Institute,5216954,2015
